visit_age_months,weight_kg,average_adult_breed_weight_kg,weight_to_expected_adult_ratio,gender,preventive_care_visit,healthy_pet_diagnosis,actual_label,predicted_label,probability_needs_attention,explanation
34.57,12.338,12.569,0.9816214495982177,FS,Y,N,normal_growth,normal_growth,0.001571,"Age=34.57 months, weight ratio=0.982 (near expected adult-weight ratio), probability_needs_attention=0.002. True label is normal_growth, model predicted normal_growth."
35.52,9.072,12.569,0.721775797597263,FS,Y,N,normal_growth,normal_growth,0.001801,"Age=35.52 months, weight ratio=0.722 (developing weight/adult-weight ratio), probability_needs_attention=0.002. True label is normal_growth, model predicted normal_growth."
30.04,8.709,12.569,0.6928952183944624,FS,Y,N,normal_growth,normal_growth,0.001821,"Age=30.04 months, weight ratio=0.693 (developing weight/adult-weight ratio), probability_needs_attention=0.002. True label is normal_growth, model predicted normal_growth."
30.29,9.798,12.569,0.7795369560028641,FS,Y,N,normal_growth,normal_growth,0.001833,"Age=30.29 months, weight ratio=0.780 (developing weight/adult-weight ratio), probability_needs_attention=0.002. True label is normal_growth, model predicted normal_growth."
30.26,10.705,12.569,0.8516986235977404,FS,Y,N,normal_growth,normal_growth,0.001833,"Age=30.26 months, weight ratio=0.852 (near expected adult-weight ratio), probability_needs_attention=0.002. True label is normal_growth, model predicted normal_growth."
30.38,11.612,12.569,0.9238602911926167,FS,Y,N,normal_growth,normal_growth,0.001833,"Age=30.38 months, weight ratio=0.924 (near expected adult-weight ratio), probability_needs_attention=0.002. True label is normal_growth, model predicted normal_growth."
34.9,9.48,12.569,0.7542366138913199,FS,Y,N,normal_growth,normal_growth,0.001833,"Age=34.90 months, weight ratio=0.754 (developing weight/adult-weight ratio), probability_needs_attention=0.002. True label is normal_growth, model predicted normal_growth."
31.18,10.342,12.569,0.8228180443949399,FS,Y,N,normal_growth,normal_growth,0.001833,"Age=31.18 months, weight ratio=0.823 (developing weight/adult-weight ratio), probability_needs_attention=0.002. True label is normal_growth, model predicted normal_growth."
