visit_age_months,weight_kg,average_adult_breed_weight_kg,weight_to_expected_adult_ratio,gender,preventive_care_visit,healthy_pet_diagnosis,actual_label,predicted_label,probability_needs_attention,explanation
35.4,51.256,35.91,1.427346143135617,MN,N,N,normal_growth,needs_attention,0.938726,"Age=35.40 months, weight ratio=1.427 (high weight/adult-weight ratio), probability_needs_attention=0.939. True label is normal_growth, model predicted needs_attention."
31.98,45.495,35.91,1.2669172932330828,M,N,N,normal_growth,needs_attention,0.930086,"Age=31.98 months, weight ratio=1.267 (high weight/adult-weight ratio), probability_needs_attention=0.930. True label is normal_growth, model predicted needs_attention."
35.36,45.813,35.91,1.2757727652464497,MN,N,N,normal_growth,needs_attention,0.929462,"Age=35.36 months, weight ratio=1.276 (high weight/adult-weight ratio), probability_needs_attention=0.929. True label is normal_growth, model predicted needs_attention."
30.85,45.949,35.91,1.2795600111389587,MN,N,N,normal_growth,needs_attention,0.924909,"Age=30.85 months, weight ratio=1.280 (high weight/adult-weight ratio), probability_needs_attention=0.925. True label is normal_growth, model predicted needs_attention."
31.19,45.359,35.91,1.2631300473405738,MN,N,N,normal_growth,needs_attention,0.922889,"Age=31.19 months, weight ratio=1.263 (high weight/adult-weight ratio), probability_needs_attention=0.923. True label is normal_growth, model predicted needs_attention."
34.96,40.551,35.91,1.1292397660818716,FS,N,N,normal_growth,needs_attention,0.912444,"Age=34.96 months, weight ratio=1.129 (near expected adult-weight ratio), probability_needs_attention=0.912. True label is normal_growth, model predicted needs_attention."
26.95,42.229,35.91,1.1759676970203288,FS,N,N,normal_growth,needs_attention,0.90611,"Age=26.95 months, weight ratio=1.176 (high weight/adult-weight ratio), probability_needs_attention=0.906. True label is normal_growth, model predicted needs_attention."
29.8,41.005,35.91,1.1418824839877473,M,N,N,normal_growth,needs_attention,0.904634,"Age=29.80 months, weight ratio=1.142 (near expected adult-weight ratio), probability_needs_attention=0.905. True label is normal_growth, model predicted needs_attention."
